"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.844763640E-1,1.628057212E-1,4.213795066E-1,9.806650162E0,9.817049138E0
4.884730570E-1,1.436520964E-1,4.692635238E-1,9.739612579E0,9.751968897E0
4.924712120E-1,1.628057212E-1,5.267243981E-1,9.758766174E0,9.774326654E0
4.964686750E-1,1.149216816E-1,4.596867263E-1,9.787496567E0,9.798959533E0
5.004678300E-1,1.436520964E-1,3.734954596E-1,9.768342972E0,9.776536155E0
5.044656770E-1,1.340752989E-1,4.692635238E-1,9.768342972E0,9.780527023E0
5.084622930E-1,8.619125932E-2,4.405331016E-1,9.777919769E0,9.788218089E0
5.124600630E-1,1.532289088E-1,4.501099288E-1,9.758766174E0,9.770342639E0
5.164582180E-1,1.723825186E-1,4.309563041E-1,9.844957352E0,9.855892873E0
5.204560650E-1,1.340752989E-1,3.830722570E-1,9.787496567E0,9.795907798E0
5.244846820E-1,1.628057212E-1,3.830722570E-1,9.758766174E0,9.767638778E0
5.284834520E-1,1.436520964E-1,4.405331016E-1,9.797073364E0,9.808024870E0
5.324804530E-1,1.915361285E-1,4.309563041E-1,9.816226959E0,9.827549091E0
5.364782230E-1,8.619125932E-2,4.022258818E-1,9.844957352E0,9.853547577E0
5.404760700E-1,1.915361285E-1,3.543418646E-1,9.777919769E0,9.786212713E0
5.444739180E-1,1.628057212E-1,4.118026793E-1,9.797073364E0,9.807075693E0
5.484699960E-1,1.244984865E-1,3.830722570E-1,9.844957352E0,9.853193872E0
5.524675350E-1,1.915361285E-1,4.405331016E-1,9.739612579E0,9.751451620E0
5.564665360E-1,2.011129409E-1,4.213795066E-1,9.749189377E0,9.760363754E0
5.604649990E-1,1.436520964E-1,4.596867263E-1,9.797073364E0,9.808903828E0
5.644646920E-1,1.532289088E-1,4.596867263E-1,9.797073364E0,9.809048756E0
5.684594620E-1,1.915361285E-1,4.309563041E-1,9.816226959E0,9.827549091E0
5.724570790E-1,1.915361285E-1,3.543418646E-1,9.806650162E0,9.814918830E0
5.764846950E-1,2.011129409E-1,3.639186621E-1,9.777919769E0,9.786756267E0
5.804837730E-1,1.340752989E-1,4.118026793E-1,9.797073364E0,9.806640818E0
5.844825430E-1,1.819593310E-1,4.022258818E-1,9.806650162E0,9.816582005E0
5.884788520E-1,1.532289088E-1,4.118026793E-1,9.730035782E0,9.739951584E0
5.924766990E-1,1.436520964E-1,4.501099288E-1,9.816226959E0,9.827591088E0
5.964757770E-1,2.011129409E-1,4.501099288E-1,9.806650162E0,9.819034207E0
6.004727780E-1,1.532289088E-1,4.788403511E-1,9.825803757E0,9.838657766E0
6.044718560E-1,2.106897533E-1,4.213795066E-1,9.844957352E0,9.856223218E0
6.084699340E-1,1.436520964E-1,3.926490843E-1,9.758766174E0,9.767718591E0
